date,strat_equity,idx_equity
2025-12-30,100000.0,100000.0
2025-12-31,98848.62,99264.23336991538
2026-01-02,101938.28,99452.30997982087
2026-01-05,103174.985,100084.24257443269
2026-01-06,103597.59499999999,100704.43586929585
2026-01-07,102449.265,100358.02032074203
2026-01-08,99415.94499999999,100365.70255248345
2026-01-09,102582.70499999999,101015.61935780791
2026-01-12,104611.07,101174.98495415442
2026-01-13,106586.32999999999,100978.7942082345
2026-01-14,105338.91999999998,100440.23790137006
2026-01-15,108238.10999999999,100699.3663043863
2026-01-16,110201.48999999999,100634.68686940207
2026-01-20,108549.98999999999,98558.91953127766
2026-01-21,111215.30999999998,99700.99479590754
2026-01-22,111557.74999999999,100248.10422345735
2026-01-23,111881.37,100280.87230502354
2026-01-26,111641.63499999998,100782.88667823131
2026-01-27,113909.04499999998,101194.27195808405
2026-01-28,114439.965,101186.0020533154
2026-01-29,114793.76999999999,101055.20586256948
2026-01-30,112824.09499999997,100620.4765107799
2026-02-02,113464.625,101162.94827769321
2026-02-03,111319.50499999998,100312.77657804369
2026-02-04,108167.20499999999,99803.95086203844
2026-02-05,107761.41,98581.25110631218
2026-02-06,113308.70999999998,100522.8873862711
2026-02-09,115307.59999999999,100994.448968032
2026-02-10,114525.49999999997,100660.79229652707
2026-02-11,115830.58,100655.86433957588
2026-02-12,113331.38999999998,99079.49162742947
2026-02-13,116611.53,99128.9411264913
2026-02-17,116275.98,99231.17499203455
2026-02-18,116797.33,99783.50267285021
2026-02-19,117341.95999999999,99501.90108684108
2026-02-20,117355.25,100192.41689382943
2026-02-23,116687.69,99151.85329415514
2026-02-24,120511.63999999998,99910.52501150564
2026-02-25,122477.57999999999,100723.43257691083
2026-02-26,119807.94999999998,100182.9928842001
2026-02-27,118913.44,99748.26353241052
2026-03-02,118705.73,99787.99872552838
2026-03-03,116858.76,98845.59776259426
2026-03-04,119192.77,99612.24908839876
2026-03-05,120271.60999999999,99049.76811696817
2026-03-06,118720.69999999998,97734.70457039686
2026-03-09,121942.99999999999,98546.30934258505
2026-03-10,121562.82999999999,98335.90115764506
2026-03-11,121761.05,98253.53488866074
2026-03-12,119531.1,96757.36184373562
2026-03-13,118240.07999999999,96171.09781569724
2026-03-16,119223.69999999998,97145.39597125359
2026-03-17,119516.49999999999,97387.7013488158
2026-03-18,118627.7,96062.49159202747
2026-03-19,120062.95999999999,95798.43523206004
2026-03-20,119119.56,94348.22105002301
2026-03-23,120898.97,95428.81013912983
2026-03-24,121974.43,95071.66070733176
2026-03-25,121455.81,95586.86586186144
2026-03-26,116960.15,93923.06439621907
2026-03-27,115680.68,92352.4976103657
2026-03-30,113347.04000000001,91988.09785109923
2026-03-31,116275.54999999999,94667.81605126208
2026-04-01,117671.66999999998,95346.44387014551
2026-04-02,117051.26999999999,95453.31539632527
2026-04-06,117524.37,95875.86646369526
2026-04-07,117717.03,95948.66003469395
2026-04-08,121297.76999999999,98355.18816157468
2026-04-09,125182.5488171997,98962.04198675965
2026-04-10,127215.88872579955,98849.37161468474
2026-04-13,128809.74826879882,99854.99345063193
2026-04-14,129413.42890859983,101031.57149431798
2026-04-15,130463.45954840086,101837.37742061104
2026-04-16,135548.62808599853,102103.16847806847
2026-04-17,136613.28808599853,103332.53796863384
2026-04-20,134076.78760076902,103087.18801996672
2026-04-21,134324.2298538818,102432.76808156619
2026-04-22,137518.8171738281,103504.2234573583
2026-04-23,137627.70746466063,103076.45413672249
2026-04-24,148342.54874426266,103898.35380748397
2026-04-27,152498.8176956787,104026.39572343965
2026-04-28,149166.57062841795,103517.27263072184
2026-04-29,147544.87883154297,103475.95142847027
2026-04-30,150270.6172043457,104535.36304740327
2026-05-01,152947.3300873413,104841.47697100577
2026-05-04,154960.09382788086,104415.59103621624
2026-05-05,157994.5608688965,105263.44744574645
2026-05-06,160342.67193762207,106799.06538747478
2026-05-07,163253.67267767334,106392.89836088788
2026-05-08,166458.02214208985,107289.33338053599
2026-05-11,167222.85318151856,107491.0326760364
2026-05-12,166432.45167700195,107318.76659468262
2026-05-13,166439.22903601074,107946.50051332885
2026-05-14,167485.18212286377,108772.8962367685
2026-05-15,163344.0290238037,107428.10209933798
2026-05-18,163002.7928406372,107349.07069777322
2026-05-19,163222.03968206787,106632.1591673452
2026-05-20,166444.07445684815,107782.93624101675
2026-05-21,167427.21428839111,107967.81959146104
2026-05-22,168847.903894104,108370.21276595745
2026-05-26,170316.85959783936,109032.16624774312
2026-05-27,171348.3698670044,109050.14337805785
2026-05-28,171292.04264990235,109677.58700038942
2026-05-29,169293.11474768067,109915.83530994442
2026-06-01,165798.84170690918,110204.3969271073
2026-06-02,166825.1723267212,110346.7908096435
2026-06-03,169121.96439520264,109533.30973200694
2026-06-04,169108.1423917236,109977.46309342585
2026-06-05,160473.8916852417,107069.06928169364
2026-06-08,167423.45125982663,107387.93500194712
2026-06-09,165304.42183935543,107111.26137288916
2026-06-10,166060.44322271727,105376.11781782136
2026-06-11,175369.9328278198,107222.18996707615
2026-06-12,181037.31155981444,107761.03657025525
