origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-02-05,0.0776,-0.0142,0.0918
2026-01-07,2026-02-12,0.1062,-0.0127,0.119
2026-01-14,2026-02-20,0.1141,-0.0025,0.1165
2026-01-22,2026-02-27,0.0659,-0.005,0.0709
2026-01-29,2026-03-06,0.0342,-0.0329,0.0671
2026-02-05,2026-03-13,0.0972,-0.0244,0.1217
2026-02-12,2026-03-20,0.0511,-0.0478,0.0988
2026-02-20,2026-03-27,-0.0143,-0.0782,0.064
2026-02-27,2026-04-06,-0.0117,-0.0388,0.0271
2026-03-06,2026-04-13,0.085,0.0217,0.0633
2026-03-13,2026-04-20,0.1339,0.0719,0.062
2026-03-20,2026-04-27,0.2802,0.1026,0.1776
2026-03-27,2026-05-04,0.3396,0.1306,0.2089
2026-04-06,2026-05-11,0.4229,0.1211,0.3017
2026-04-13,2026-05-18,0.2655,0.075,0.1904
2026-04-20,2026-05-26,0.2703,0.0577,0.2126
2026-04-27,2026-06-02,0.0939,0.0608,0.0332
2026-05-04,2026-06-09,0.0668,0.0258,0.0409
