date,strat_equity,idx_equity
2021-12-21,100000.0,100000.0
2021-12-22,99886.8,101018.01972205788
2021-12-23,100794.51,101646.7255634885
2021-12-27,102631.74,103053.4080166795
2021-12-28,102732.79000000001,102949.30811690402
2021-12-29,104738.44,103093.63225156047
2021-12-30,101791.98000000001,102785.40748777808
2021-12-31,100896.88,102515.47451521657
2022-01-03,103601.13,103168.91353501394
2022-01-04,102173.29999999999,103103.95612176621
2022-01-05,99538.28000000001,101104.48607343517
2022-01-06,98314.05,101007.04470235799
2022-01-07,97231.12000000001,100597.9442790373
2022-01-10,96917.12000000001,100452.97949729789
2022-01-11,99390.80000000002,101373.12724941956
2022-01-12,97628.74,101658.77182913039
2022-01-13,97726.14000000001,100210.78339270521
2022-01-14,98908.1,100292.9542579033
2022-01-18,97884.95000000001,98448.77286151741
2022-01-19,97375.43000000001,97494.84935498917
2022-01-20,95759.56,96418.76180142818
2022-01-21,94373.57,94595.01809722985
2022-01-24,93531.56,94857.21079273985
2022-01-25,91016.05,93702.61771548822
2022-01-26,90310.14,93562.37901878703
2022-01-27,88675.92,93058.63086576732
2022-01-28,89499.36,95324.38954997483
2022-01-31,89782.18,97124.68136997233
2022-02-01,89595.86,97791.24840376478
2022-02-02,90709.61,98712.68795246357
2022-02-03,89996.48,96304.97867852991
2022-02-04,91047.3,96801.61669916988
2022-02-07,90742.14000000001,96443.28493157102
2022-02-08,91443.86000000002,97253.52495052577
2022-02-09,93370.78,98665.37459002525
2022-02-10,90720.22,96877.97973097654
2022-02-11,87020.19,95040.25731747624
2022-02-14,87041.84,94675.24601635667
2022-02-15,89307.69,96167.96422206593
2022-02-16,87827.98,96252.70817800704
2022-02-17,85485.64000000001,94214.73629023119
2022-02-18,85461.02,93539.57828408034
2022-02-22,85369.08,92590.81146144938
2022-02-23,83892.96,90886.0180664578
2022-02-24,84767.74,92245.38715721048
2022-02-25,86589.25,94309.1634692951
2022-02-28,87885.88,94078.8035821204
2022-03-01,85274.49,92623.07486864371
2022-03-02,86154.54999999999,94349.8183030351
2022-03-03,84919.13,93854.04148011321
2022-03-04,83595.08,93109.39952148915
2022-03-07,82224.76000000001,90360.98152594363
2022-03-08,82792.36,89707.33245792236
2022-03-09,84006.76000000001,92012.65372510548
2022-03-10,82996.95999999999,91617.75256172188
2022-03-11,82519.56,90430.24492778175
2022-03-14,82070.76000000001,89759.16185717499
2022-03-15,83628.36,91680.77753130952
2022-03-16,84957.16,93732.93817661128
2022-03-17,84147.56,94890.33539765226
2022-03-18,84536.95999999999,95996.97446538263
2022-03-21,85078.16,95955.24838570063
2022-03-22,84827.36,97039.9374140312
2022-03-23,84638.16,95848.99549162995
2022-03-24,86092.36,97223.84513648566
2022-03-25,85903.16,97716.39771917036
2022-03-28,86028.56,98414.577010663
2022-03-29,87639.31,99620.79994135453
2022-03-30,87369.37,98993.8164953601
2022-03-31,84047.06,97444.31175231366
2022-04-01,84077.88999999998,97776.61854496865
2022-04-04,84835.19,98567.72317072414
2022-04-05,82483.95999999999,97330.52862941538
2022-04-06,81859.7,96384.77599879769
2022-04-07,82562.37,96794.73761983645
2022-04-08,84065.09,96538.13220708276
2022-04-11,81061.35,94908.83014376856
2022-04-12,81272.66,94584.4841788002
2022-04-13,82781.94,95641.42583675073
2022-04-14,81420.54000000001,94479.94317775447
2022-04-18,81618.42,94460.5872339201
2022-04-19,80664.87999999999,95977.39797091315
2022-04-20,80387.12,95918.03834283294
2022-04-21,77600.06999999999,94502.96446309626
2022-04-22,75581.62,91881.44710203292
2022-04-25,73588.57999999999,92404.98179774603
2022-04-26,73970.98999999999,89804.12267950538
2022-04-27,74170.84,89992.53593636295
2022-04-28,75276.62999999999,92219.57223049054
2022-04-29,73887.41,88873.43050654285
2022-05-02,74060.51999999999,89377.80880423432
2022-05-03,76262.65,89810.14056112073
2022-05-04,78589.59,92492.08879620627
2022-05-05,77166.49,89194.77278190914
2022-05-06,78132.20999999999,88688.6615863703
2022-05-09,73802.29,85847.33401017873
2022-05-10,74466.24,86058.33795351906
2022-05-11,74824.43,84641.54167834623
2022-05-12,74737.14,84531.84924460882
2022-05-13,77728.31,86549.59873962664
2022-05-16,77927.32,86208.0393227079
2022-05-17,78134.87,87946.8237715356
2022-05-18,77107.2,84394.18888985628
2022-05-19,77657.68,83901.8516066011
2022-05-20,77427.65999999999,83914.11317167252
2022-05-23,79504.35,85471.14289234094
2022-05-24,79876.26,84777.04903880357
2022-05-25,80656.97,85578.25698412971
2022-05-26,82669.60999999999,87279.83139008969
2022-05-27,83995.9,89439.33192902092
2022-05-31,82941.98,88878.15659158108
2022-06-01,84219.68999999999,88213.10190500086
2022-06-02,84039.71999999999,89838.95917744275
2022-06-03,84894.7,88370.33350301729
2022-06-06,85020.35,88647.58665618247
2022-06-07,85936.71999999999,89491.81247776771
2022-06-08,85787.54999999999,88525.84270559756
2022-06-09,85318.82999999999,86419.04326604823
2022-06-10,85318.82999999999,83903.35870260774
2022-06-13,85318.82999999999,80650.55715816516
2022-06-14,85318.82999999999,80346.20778411411
2022-06-15,85318.82999999999,81518.66021160469
2022-06-16,85318.82999999999,78868.32948542491
2022-06-17,85318.82999999999,79041.90808646803
2022-06-21,85318.82999999999,80976.63602098088
2022-06-22,85318.82999999999,80871.23907342266
2022-06-23,85318.82999999999,81642.12130642013
2022-06-24,85318.82999999999,84137.37342887867
2022-06-27,85318.82999999999,83887.22699901057
2022-06-28,85318.82999999999,82197.48355926295
2022-06-29,85318.82999999999,82138.97987769522
2022-06-30,85318.82999999999,81419.50169629694
2022-07-01,85318.82999999999,82278.78797553736
2022-07-05,85318.82999999999,82409.12814968625
2022-07-06,85318.82999999999,82703.58950359619
2022-07-07,85318.82999999999,83941.21464376399
2022-07-08,85318.82999999999,83871.52064306683
2022-07-11,85318.82999999999,82904.69492438421
2022-07-12,85318.82999999999,82138.33397940666
2022-07-13,85318.82999999999,81772.25143234509
2022-07-14,85318.82999999999,81527.04638694474
2022-07-15,85318.82999999999,83092.46753415883
2022-07-18,85318.82999999999,82397.51773410899
2022-07-19,85318.82999999999,84674.02038497008
2022-07-20,85318.82999999999,85173.2419987643
2022-07-21,85318.82999999999,86013.16708296475
2022-07-22,85318.82999999999,85210.45204163197
2022-07-25,85318.82999999999,85322.51802029969
2022-07-26,85318.82999999999,84337.62290315422
2022-07-27,85318.82999999999,86543.5808580113
2022-07-28,85318.82999999999,87593.6434366284
2022-07-29,85318.82999999999,88838.15290733523
2022-08-01,84883.31999999998,88587.35532797297
2022-08-02,86170.93,87997.15132598717
2022-08-03,86737.72999999998,89373.29276742
2022-08-04,87506.81,89303.81931735798
2022-08-05,87010.90999999999,89158.63398498345
2022-08-08,86314.91999999998,89048.29565295749
2022-08-09,84281.29,88669.9567920301
2022-08-10,86784.10999999999,90557.79671175807
2022-08-11,87074.99999999999,90493.91054445234
2022-08-12,89186.43999999999,92061.47943475602
2022-08-15,88423.50999999998,92426.92133473464
2022-08-16,88271.09999999998,92600.28463634824
2022-08-17,86862.32999999999,91930.06276345954
2022-08-18,87762.29999999999,92138.70366428077
2022-08-19,85851.19999999998,90950.11428198744
2022-08-22,84074.65999999999,89003.77593189733
2022-08-23,84920.70999999999,88804.59770356378
2022-08-24,85409.48999999999,89063.56615883658
2022-08-25,87553.57999999999,90318.61479917867
2022-08-26,84001.18999999999,87275.95600035835
2022-08-29,83154.41999999998,86694.1434249182
2022-08-30,81276.48999999999,85738.06692409478
2022-08-31,80515.34,85067.85030241168
2022-09-01,79328.34999999998,85322.7333197292
2022-09-02,79385.32999999999,84406.66575435721
2022-09-06,78268.40999999999,84061.01564827761
2022-09-07,78641.00999999998,85602.78011427254
2022-09-08,79122.4,86168.67628554502
2022-09-09,81987.41999999998,87484.59690117955
2022-09-12,82623.74999999999,88410.55773789826
2022-09-13,77577.84,84587.98463245184
2022-09-14,78929.31999999999,84874.48515867516
2022-09-15,77146.38999999998,83913.897872243
2022-09-16,75997.54,83311.21700575626
