origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-02-05,0.0776,-0.0142,0.0918
2026-01-07,2026-02-12,0.1062,-0.0127,0.119
2026-01-14,2026-02-20,0.1141,-0.0025,0.1165
2026-01-22,2026-02-27,0.0659,-0.005,0.0709
2026-01-29,2026-03-06,0.0342,-0.0329,0.0671
2026-02-05,2026-03-13,0.0983,-0.0244,0.1227
2026-02-12,2026-03-20,0.0362,-0.0478,0.0839
2026-02-20,2026-03-27,-0.0093,-0.0782,0.0689
2026-02-27,2026-04-06,-0.0216,-0.0388,0.0172
2026-03-06,2026-04-13,0.0149,0.0217,-0.0068
2026-03-13,2026-04-20,0.0541,0.0719,-0.0178
2026-03-20,2026-04-27,0.1795,0.1026,0.0769
2026-03-27,2026-05-04,0.1534,0.1306,0.0228
2026-04-06,2026-05-11,0.2228,0.1211,0.1016
2026-04-13,2026-05-18,0.1632,0.075,0.0882
2026-04-20,2026-05-26,0.2271,0.0577,0.1694
2026-04-27,2026-06-02,0.0598,0.0608,-0.001
2026-05-04,2026-06-09,0.0569,0.0258,0.0311
